Movie_Id,release_year,title,original,listed_in,imdbbis5
204,2019,The Last Kids on Earth,0.0,"Kids' TV, TV Comedies",3.8
205,2015,The Witch,0.0,"Horror Movies, Independent Movies",3.45
206,2017,Click for Murder,0.0,"British TV Shows, Crime TV Shows, Docuseries",3.15
207,2016,I Am Wrath,0.0,"Action & Adventure, Dramas",2.7
208,2014,"As Above, So Below",0.0,"Horror Movies, Thrillers",3.1
209,2010,Scott Pilgrim vs. the World,0.0,"Action & Adventure, Comedies, Cult Movies",3.75
210,2016,ARQ,1.0,"International Movies, Sci-Fi & Fantasy, Thrillers",3.2
211,2016,Cedric the Entertainer: Live from the Ville,0.0,Stand-Up Comedy,2.95
212,2010,Louis C.K.: Hilarious,0.0,Movies,4.25
213,2015,Raiders!: The Story of the Greatest Fan Film Ever Made,0.0,Documentaries,3.45
214,2016,The White Helmets,1.0,Documentaries,3.75
215,2014,America's Book of Secrets,0.0,Docuseries,3.55
216,2018,Bakugan: Battle Planet,0.0,"Anime Series, Kids' TV",3.0
217,2017,Cold Case Files,0.0,"Crime TV Shows, Docuseries",4.0
218,2019,Los Tigres del Norte at Folsom Prison,1.0,"Documentaries, International Movies, Music & Musicals",3.45
219,2010,Pawn Stars,0.0,Reality TV,3.6
220,2006,Steal a Pencil for Me,0.0,Documentaries,0.0
221,2019,Surviving R. Kelly,0.0,Docuseries,3.8
222,2014,The Curse of Oak Island,0.0,Docuseries,3.5
223,2019,The Outsider,1.0,Movies,0.0
224,2016,The Rap Game,0.0,Reality TV,2.6
225,2009,The Universe,0.0,"Docuseries, Science & Nature TV",4.4
226,2017,Al Hayba,0.0,"Crime TV Shows, International TV Shows, TV Dramas",3.75
227,2011,Arisan 2,0.0,"Comedies, Dramas, International Movies",3.25
228,2017,Cabins in the Wild with Dick Strawbridge,0.0,"British TV Shows, International TV Shows, Reality TV",3.3
229,2016,Cardboard Gangsters,0.0,"Dramas, International Movies",0.0
230,2018,Eeda,0.0,"Dramas, International Movies, Romantic Movies",3.65
231,2017,Galih dan Ratna,0.0,"Dramas, International Movies, Romantic Movies",3.3
232,2005,Gie,0.0,"Dramas, International Movies",3.8
233,2018,​Goli Soda 2,0.0,"Action & Adventure, Dramas, International Movies",3.65
234,2018,How to Live Mortgage Free with Sarah Beeny,0.0,"British TV Shows, International TV Shows, Reality TV",0.0
235,2017,Inside The Freemasons,0.0,"British TV Shows, Docuseries, International TV Shows",2.8
236,2017,Jugaad,0.0,Documentaries,0.0
237,2017,​Maj Rati ​​Keteki,0.0,"Dramas, International Movies",3.5
238,2017,​Mayurakshi,0.0,"Dramas, International Movies",3.55
239,2017,Red Oleanders Raktokarobi,0.0,"Dramas, International Movies",3.65
240,2017,Samantaral,0.0,"Dramas, International Movies",3.8
241,2018,The Secret,0.0,"Horror Movies, International Movies",0.0
242,2017,First They Killed My Father,1.0,Dramas,3.6
243,2013,Gagarin: First in Space,0.0,"Dramas, International Movies",3.3
244,2016,Janaan,0.0,"Comedies, Dramas, International Movies",3.55
245,2017,Larceny,0.0,Action & Adventure,1.7
246,2016,Rumble,0.0,"Action & Adventure, Independent Movies",0.0
247,2017,Strong Island,1.0,Documentaries,3.2
248,2016,The Five,0.0,"British TV Shows, Crime TV Shows, TV Dramas",3.85
249,2016,Natural Born Pranksters,0.0,Comedies,1.8
250,2012,Sample This,0.0,"Documentaries, Music & Musicals",3.2
251,2014,Wartime Portraits,0.0,"Docuseries, International TV Shows",3.15
252,2014,Cowspiracy: The Sustainability Secret,0.0,Documentaries,4.15
253,2019,Oh! Baby,0.0,"Comedies, International Movies, Music & Musicals",3.7
254,2019,The Crystal Calls Making the Dark Crystal: Age of Resistance,0.0,"Documentaries, International Movies",3.8
255,2018,We Have Always Lived in the Castle,0.0,"Dramas, Thrillers",2.8
256,2002,Bangkok Hell,0.0,"Dramas, International Movies",2.75
257,2015,Behind the Newsroom,0.0,"International TV Shows, Romantic TV Shows, TV Dramas",2.7
258,2018,Bleach,1.0,"Action & Adventure, International Movies, Sci-Fi & Fantasy",0.0
259,2018,Boca Juniors Confidential,1.0,"Docuseries, International TV Shows, Spanish-Language TV Shows",3.2
260,2018,Car Masters: Rust to Riches,1.0,Reality TV,4.35
261,2018,Norm Macdonald Has a Show,1.0,"Stand-Up Comedy & Talk Shows, TV Comedies",4.35
262,2010,Still,0.0,"Horror Movies, International Movies",0.0
263,2018,Super Monsters Monster Party,0.0,Kids' TV,3.5
264,2018,The Angel,1.0,"Dramas, International Movies, Thrillers",3.3
265,2018,The Land of Steady Habits,1.0,"Comedies, Dramas, Independent Movies",3.1
266,2018,The Rise of Phoenixes,0.0,"International TV Shows, Romantic TV Shows, TV Action & Adventure",4.35
267,2019,American Warfighter,0.0,Dramas,0.0
268,2019,Deviant Love,0.0,Thrillers,1.75
269,2018,Head Count,0.0,"Horror Movies, Independent Movies",2.65
270,2019,"Hello, Privilege. It's Me, Chelsea",1.0,Documentaries,2.1
271,2019,Kabaneri of the Iron Fortress: The Battle of Unato,0.0,"Anime Series, International TV Shows, TV Horror",3.35
272,2018,Locked on You,0.0,"Comedies, International Movies",3.15
273,2019,Marianne,1.0,"International TV Shows, TV Dramas, TV Horror",3.75
274,2019,Monarca,1.0,"International TV Shows, Spanish-Language TV Shows, TV Dramas",4.0
275,2019,Shanghai Fortress,1.0,"Dramas, International Movies, Romantic Movies",2.1
276,2019,Tall Girl,1.0,"Children & Family Movies, Comedies, Romantic Movies",2.6
277,2018,Time Trap,0.0,"Action & Adventure, Sci-Fi & Fantasy",0.0
278,2019,Top Boy,1.0,"British TV Shows, Crime TV Shows, International TV Shows",4.2
279,2019,Unbelievable,1.0,"Crime TV Shows, TV Dramas",4.25
280,2018,Reversing Roe,1.0,Documentaries,3.65
281,2017,Ghost of the Mountains,0.0,Documentaries,0.0
282,2016,Extremis,1.0,Documentaries,0.0
283,2019,The I-Land,1.0,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",2.2
284,2019,"The Mind, Explained",1.0,"Docuseries, Science & Nature TV",4.05
285,2013,Turbo,0.0,"Children & Family Movies, Comedies",3.2
286,2018,Life,0.0,"International TV Shows, Korean TV Shows, TV Dramas",3.3
287,2018,On My Skin,1.0,"Dramas, International Movies",3.65
288,2017,Heroin(e),1.0,Documentaries,3.4
289,2017,Jeff Dunham: Relative Disaster,0.0,Stand-Up Comedy,3.2
290,2018,Daniel Sloss: Live Shows,0.0,"Stand-Up Comedy & Talk Shows, TV Comedies",4.25
291,2018,If I were an Animal,0.0,"Docuseries, Kids' TV, Science & Nature TV",0.0
292,2018,The Resistance Banker,1.0,"Dramas, International Movies",3.45
293,2014,The Forgotten,0.0,Horror Movies,0.0
294,2019,Bill Burr: Paper Tiger,0.0,Stand-Up Comedy,4.1
295,2010,Eat Pray Love,0.0,"Dramas, Romantic Movies",2.9
296,2019,Evelyn,1.0,"Documentaries, International Movies",0.0
297,2019,Our Godfather,0.0,"Documentaries, International Movies",3.4
298,2019,Terrace House: Tokyo 2019-2020,0.0,"International TV Shows, Reality TV",3.85
299,2018,"My Teacher, My Obsession",1.0,Thrillers,2.2
300,2017,68 Kill,0.0,"Comedies, Independent Movies, Thrillers",3.0
301,2000,American Psycho,0.0,"Comedies, Cult Movies, Dramas",3.8
302,1997,Dante's Peak,0.0,Action & Adventure,2.95
303,2012,Elena,0.0,"Documentaries, International Movies",0.0
304,2017,First Kill,0.0,Action & Adventure,2.5
305,2018,For the Birds,0.0,Documentaries,0.0
306,2008,Igor,0.0,Children & Family Movies,0.0
307,2005,Just Friends,0.0,"Comedies, Romantic Movies",3.1
308,2016,Loo Loo Kids: Johny & Friends Musical Adventures,0.0,Kids' TV,0.0
309,2019,Mokalik (Mechanic),0.0,"Dramas, International Movies",3.3
310,2007,Mr. Woodcock,0.0,Comedies,2.55
311,2009,My Sister's Keeper,0.0,Dramas,3.7
312,2003,Mystic River,0.0,"Dramas, Thrillers",3.95
313,2014,Oct-01,0.0,"Dramas, International Movies, Thrillers",0.0
314,2014,Olmo & the Seagull,0.0,"Dramas, Independent Movies, International Movies",0.0
315,2006,Open Season,0.0,"Children & Family Movies, Comedies",3.05
316,2012,Phone Swap,0.0,"Comedies, International Movies, Romantic Movies",0.0
317,2006,Poseidon,0.0,"Action & Adventure, Dramas",2.8
318,2008,Rachel Getting Married,0.0,"Dramas, Independent Movies",3.35
319,2018,Serial Killer with Piers Morgan,0.0,"British TV Shows, Crime TV Shows, Docuseries",1.85
320,2004,Spookley the Square Pumpkin,0.0,Children & Family Movies,0.0
321,1981,Stripes,0.0,"Classic Movies, Comedies, Cult Movies",3.45
